repo	note_path	r_claim	current_slug	proposed_v2_slug_or_todo
spore	spore/docs/research/connections/hansen-ghrist-discourse-graphs.md	R1	restriction-map-attestation	TODO: defer
spore	spore/docs/research/connections/hansen-ghrist-discourse-graphs.md	R2	two-layer-sheaf	TODO: defer
spore	spore/docs/research/connections/hansen-ghrist-discourse-graphs.md	R3	harmonic-peer-review	TODO: defer
spore	spore/docs/research/connections/johar-biophysically-entering.md	R1	planetary-systems-and-biophysical-reality	TODO: defer
spore	spore/docs/research/connections/johar-boundaries-in-systems.md	R1	boundary-making-and-entangled-systems	TODO: defer
spore	spore/docs/research/connections/johar-brain-self-rewriting-field.md	R1	human-machine-complementarity	TODO: defer
spore	spore/docs/research/connections/johar-brain-self-rewriting-field.md	R2	field-neuroplasticity	TODO: defer
spore	spore/docs/research/connections/johar-commitment-economy.md	R1	human-economy-and-commitment	TODO: defer
spore	spore/docs/research/connections/johar-conversational-sovereignty.md	R1	conversational-sovereignty	TODO: defer
spore	spore/docs/research/connections/johar-ecology-of-courage.md	R1	care-courage-and-presence	TODO: defer
spore	spore/docs/research/connections/johar-economy-of-doubt.md	R1	doubt-plural-selfhood-and-relational-maturity	TODO: defer
spore	spore/docs/research/connections/johar-entangled-freedom.md	R1	entangled-freedom-and-being	TODO: defer
spore	spore/docs/research/connections/johar-entangled-intelligence.md	R1	human-machine-complementarity	TODO: defer
spore	spore/docs/research/connections/johar-entangled-intelligence.md	R2	inference-infrastructure	TODO: defer
spore	spore/docs/research/connections/johar-fork-in-the-system.md	R1	holding-complexity-beyond-control	TODO: defer
spore	spore/docs/research/connections/johar-four-dimensions-organizing.md	R1	legitimacy-and-shared-consequence	TODO: defer
spore	spore/docs/research/connections/johar-free-markets-freedom.md	R1	human-economy-and-commitment	TODO: defer
spore	spore/docs/research/connections/johar-governing-volatility.md	R1	governance-under-volatility	TODO: defer
spore	spore/docs/research/connections/johar-infrastructure-after-permanence.md	R1	post-permanence-and-adaptive-infrastructure	TODO: defer
spore	spore/docs/research/connections/johar-infrastructure-agility.md	R1	agility-contribution-and-organizing	TODO: defer
spore	spore/docs/research/connections/johar-inter-becoming.md	R1	identity-and-inter-becoming	TODO: defer
spore	spore/docs/research/connections/johar-miss-engineered-city.md	R1	spatial-service-and-civic-infrastructure	TODO: defer
spore	spore/docs/research/connections/johar-money-future-energy.md	R1	money-capital-and-future-claims	TODO: defer
spore	spore/docs/research/connections/johar-moral-provenance.md	R1	market-legibility-and-moral-provenance	TODO: defer
spore	spore/docs/research/connections/johar-neuroplastic-field.md	R1	field	TODO: defer
spore	spore/docs/research/connections/johar-neuroplastic-field.md	R2	category-adequacy	TODO: defer
spore	spore/docs/research/connections/johar-neuroplastic-field.md	R3	human-machine-complementarity	TODO: defer
spore	spore/docs/research/connections/johar-neuroplastic-field.md	R4	field-neuroplasticity	TODO: defer
spore	spore/docs/research/connections/johar-neuroplastic-field.md	R5	inference-infrastructure	TODO: defer
spore	spore/docs/research/connections/johar-outcomes-and-systems.md	R1	worldviews-cohesion-and-systems-change	TODO: defer
spore	spore/docs/research/connections/johar-portfolio-pathways.md	R1	pathways-prophecy-and-futures-design	TODO: defer
spore	spore/docs/research/connections/johar-priceability.md	R1	priceability-and-system-world	TODO: defer
spore	spore/docs/research/connections/johar-recursive-intelligence.md	R1	linguistic-closure	TODO: defer
spore	spore/docs/research/connections/johar-relational-topology.md	R1	relational-topology-and-context-design	TODO: defer
spore	spore/docs/research/connections/johar-sovereign-consciousness.md	R1	consciousness-sovereignty-and-post-compliance	TODO: defer
spore	spore/docs/research/connections/johar-speech-and-duty.md	R1	informational-duty	TODO: defer
spore	spore/docs/research/connections/johar-truth-in-doubt.md	R1	civic-truth	TODO: defer
intelligence-commons	intelligence-commons/docs/research/connections/johar-neuroplastic-field.md	R1	category-adequacy	TODO: defer
intelligence-commons	intelligence-commons/docs/research/connections/johar-neuroplastic-field.md	R2	field-state	TODO: defer
intelligence-commons	intelligence-commons/docs/research/connections/johar-neuroplastic-field.md	R3	architectural-plasticity	TODO: defer
