concept	introducing-doc	defining-doc	usage-count	layer-of-introduction	primitive-class
access-across-time	intelligence-commons/docs/foundations/intelligence-primitives.md	intelligence-commons/docs/foundations/intelligence-primitives.md	6	intelligence-commons:adr-eligible	FALSE
access-modes	intelligence-commons/docs/foundations/memory-layer-model.md	intelligence-commons/docs/foundations/memory-layer-model.md	1	intelligence-commons:adr-eligible	FALSE
adaptive-coordination	spore/docs/project-vision.md	spore/docs/research/connections/johar-fork-in-the-system.md	6	spore:adr-eligible	FALSE
adaptive-provisioning	spore/docs/research/connections/johar-infrastructure-after-permanence.md	spore/docs/research/connections/johar-infrastructure-after-permanence.md	1	bridge-note	FALSE
adaptive-update	intelligence-commons/docs/learning-field/stalks/mem0.md	intelligence-commons/docs/learning-field/stalks/mem0.md	2	intelligence-commons:extended	FALSE
agent	intelligence-commons/docs/foundations/intelligence-primitives.md	spore/docs/foundations/spore-instance-model.md	83	intelligence-commons:adr-eligible	TRUE
agent-capability	spore/docs/research/connections/johar-commitment-economy.md	spore/docs/research/connections/johar-free-markets-freedom.md	2	bridge-note	FALSE
agent-commons	spore/docs/foundations/holonic-network-architecture.md	spore/docs/project-vision.md	13	spore:adr-eligible	TRUE
agent-roles	intelligence-commons/docs/patterns/project-learning-membrane.md	intelligence-commons/docs/patterns/project-learning-membrane.md	4	intelligence-commons:extended	FALSE
agentic-capacity	spore/docs/foundations/relational-agency-and-holons.md	spore/docs/foundations/relational-agency-and-holons.md	3	spore:adr-eligible	FALSE
agentic-control	intelligence-commons/docs/foundations/intelligence-primitives.md	intelligence-commons/docs/foundations/intelligence-primitives.md	10	intelligence-commons:adr-eligible	TRUE
agentic-memory	intelligence-commons/docs/learning-field/stalks/graphiti.md	intelligence-commons/docs/learning-field/stalks/graphiti.md	12	intelligence-commons:extended	TRUE
agility-contribution-and-organizing	spore/docs/research/connections/johar-infrastructure-agility.md	spore/docs/research/connections/johar-infrastructure-agility.md	1	bridge-note	FALSE
algorithm-correctness	poietic-match/docs/protocol.md	poietic-match/docs/protocol.md	1	poietic-match:adr-eligible	FALSE
anonymous-embeddings	poietic-match/docs/protocol.md	poietic-match/docs/protocol.md	1	poietic-match:adr-eligible	FALSE
architectural-plasticity	intelligence-commons/docs/research/johar-neuroplastic-field.md	intelligence-commons/docs/research/johar-neuroplastic-field.md	2	bridge-note	FALSE
arrangement-plasticity	spore/docs/research/connections/johar-neuroplastic-field.md	intelligence-commons/docs/research/johar-neuroplastic-field.md	1	bridge-note	FALSE
artifact-flow	intelligence-commons/docs/patterns/project-learning-membrane.md	intelligence-commons/docs/patterns/project-learning-membrane.md	2	intelligence-commons:extended	FALSE
attention-sovereignty	spore/docs/research/connections/johar-brain-self-rewriting-field.md	spore/docs/research/connections/johar-brain-self-rewriting-field.md	1	bridge-note	FALSE
attribute-claim	spore/docs/research/connections/promise-foundation-commitment-protocol.md	spore/docs/research/connections/promise-foundation-commitment-protocol.md	1	bridge-note	FALSE
authorized-boundary-crossing	spore/docs/foundations/holonic-network-architecture.md	spore/docs/project-vision.md	6	spore:adr-eligible	FALSE
autopoiesis	intelligence-commons/docs/research/canon-decisions/0008-autopoietic-framing-held.md	spore/docs/research/concepts-p2p-wiki.yaml	14	intelligence-commons:adr-eligible	TRUE
behavioral-claim	spore/docs/research/connections/promise-foundation-commitment-protocol.md	spore/docs/research/connections/promise-foundation-commitment-protocol.md	1	bridge-note	FALSE
behavioral-invariants	spore/docs/research/connections/johar-machine-psychology.md	spore/docs/research/connections/johar-machine-psychology.md	1	bridge-note	FALSE
bi-temporal	intelligence-commons/docs/learning-field/stalks/graphiti.md	intelligence-commons/docs/learning-field/stalks/graphiti.md	6	intelligence-commons:extended	TRUE
bilateral-trust	spore/docs/foundations/mycorrhizal-federation-protocol.md	spore/docs/foundations/mycorrhizal-federation-protocol.md	2	spore:adr-eligible	FALSE
bioregional-commons	spore/docs/foundations/spore-instance-model.md	spore/docs/foundations/spore-instance-model.md	3	spore:adr-eligible	FALSE
bioregional-coordination	poietic-match/docs/project-vision.md	spore/docs/research/concepts-p2p-wiki.yaml	18	poietic-match:adr-eligible	TRUE
bioregional-matching	poietic-match/docs/project-vision.md	poietic-match/docs/project-vision.md	1	poietic-match:adr-eligible	FALSE
bioregional-scope	intelligence-commons/docs/project-vision.md	spore/docs/research/concepts-p2p-wiki.yaml	18	intelligence-commons:adr-eligible	TRUE
bkc-materialization	intelligence-commons/docs/foundations/intelligence-primitives.md	intelligence-commons/docs/foundations/intelligence-primitives.md	3	intelligence-commons:adr-eligible	FALSE
bkc-materializations	intelligence-commons/docs/foundations/memory-layer-model.md	intelligence-commons/docs/foundations/memory-layer-model.md	2	intelligence-commons:adr-eligible	FALSE
boundary-commoning	intelligence-commons/docs/foundations/memory-layer-model.md	spore/docs/research/concepts-p2p-wiki.yaml	46	intelligence-commons:adr-eligible	TRUE
boundary-making-and-entangled-systems	spore/docs/research/connections/johar-boundaries-in-systems.md	spore/docs/research/connections/johar-boundaries-in-systems.md	1	bridge-note	FALSE
boundary-spanner	poietic-match/docs/research/connections/bioregional-coordination.md	spore/docs/research/concepts-p2p-wiki.yaml	7	bridge-note	FALSE
bundle-lifecycle	poietic-match/docs/grammar.md	poietic-match/docs/grammar.md	1	poietic-match:adr-eligible	FALSE
capability-packaging	intelligence-commons/docs/research/claude-code-agentic-engineering.md	intelligence-commons/docs/research/claude-code-agentic-engineering.md	2	bridge-note	FALSE
capability-routing	intelligence-commons/docs/foundations/intelligence-primitives.md	intelligence-commons/docs/foundations/intelligence-primitives.md	8	intelligence-commons:adr-eligible	TRUE
care	intelligence-commons/docs/foundations/intelligence-primitives.md	spore/docs/foundations/relational-agency-and-holons.md	39	intelligence-commons:adr-eligible	TRUE
care-courage-and-presence	spore/docs/research/connections/johar-ecology-of-courage.md	spore/docs/research/connections/johar-ecology-of-courage.md	2	bridge-note	FALSE
category-adequacy	intelligence-commons/docs/research/johar-neuroplastic-field.md	spore/docs/research/connections/johar-recursive-intelligence.md	3	bridge-note	FALSE
cellular-sheaves	spore/docs/research/connections/hansen-ghrist-discourse-graphs.md	spore/docs/research/connections/hansen-ghrist-discourse-graphs.md	2	bridge-note	FALSE
civic-infrastructure	spore/docs/positioning/civic-infrastructure-convergence.md	spore/docs/research/connections/open-civics.md	9	spore:extended	FALSE
civic-intelligence	spore/docs/research/connections/johar-civic-intelligence.md	spore/docs/research/connections/johar-civic-intelligence.md	1	bridge-note	FALSE
civic-truth	spore/docs/research/connections/johar-conversational-sovereignty.md	spore/docs/research/connections/johar-truth-in-doubt.md	5	bridge-note	FALSE
claim-architecture	intelligence-commons/docs/patterns/project-learning-membrane.md	intelligence-commons/docs/patterns/project-learning-membrane.md	6	intelligence-commons:extended	FALSE
claude-mem	intelligence-commons/docs/learning-field/stalks/our-stack.md	intelligence-commons/docs/learning-field/stalks/our-stack.md	8	intelligence-commons:extended	FALSE
co-amplification	spore/docs/research/connections/johar-economy-of-doubt.md	spore/docs/research/connections/johar-economy-of-doubt.md	1	bridge-note	FALSE
cognitive-commons	spore/docs/research/connections/johar-brain-self-rewriting-field.md	spore/docs/research/connections/johar-speech-and-duty.md	2	bridge-note	FALSE
